sku,old_title,new_title,status
"DC89P","Svakom Handy Thruster – Máy Thủ Dâm Tự Động Cao Cấp Cho Nam","Máy Thủ Dâm Tự Động Svakom Handy Thruster Cao Cấp Cho Nam","OK"
"DC90U","Máy Massage Điểm G Lovense Flexer Kết Nối App Điều Khiển Từ Xa","Máy Massage Điểm G Lovense Flexer Kết Nối App Điều Khiển Từ Xa","OK"
"DV44Y","Dương Vật Silicon Siêu Mềm Rung Thụt Sạc USB – Thiết Kế Hiện Đại, Đa Chức Năng","Dương Vật Silicon Siêu Mềm Rung Thụt Sạc USB Đa Chức Năng","OK"
"BD09A","Bao Đôn Dên Braveman Có Rung Gai Gân – Hỗ Trợ Tăng Kích Thước Và Tăng Cảm Giác","Bao Đôn Dên Braveman Có Rung Gai Gân Hỗ Trợ Tăng Kích Thước Và Tăng Cảm Giác","OK"
"DC13F","Âm Đạo Giả Nam FLEX Xoắn Ốc Hút Chân Không – Trải Nghiệm Kích Thích Độc Đáo","Âm Đạo Giả Nam FLEX Xoắn Ốc Hút Chân Không","OK"
"BB12S","Búp bê bán thân sillicon mini","Búp Bê Bán Thân Silicon Mini","OK"
"DC38Q","Dương vật mini gắn quần chip điều khiển rung từ xa","Dương Vật Mini Gắn Quần Chip Rung Điều Khiển Từ Xa","OK"
"DC92A","Máy rung chữ C cho cặp đôi We Vibe Chorus Pro kết nối app","Máy Rung Chữ C Cho Cặp Đôi We Vibe Chorus Pro Kết Nối App","OK"
"DC96","Máy rung bú cao cấp Womanizer Next Duo","Máy Rung Bú Cao Cấp Womanizer Next Duo","OK"
"MS14P","Lưỡi kép rung ngoáy liếm cực phê","Trứng Rung Tình Yêu Lưỡi Kép Rung Ngoáy Liếm","OK"
"AV17G","Chày rung đuôi hai râu ve vuốt rất tê","Chày Rung Đuôi Hai Râu Ve Vuốt Rất Tê","OK"
"DC95A","Máy rung điểm G cao cấp Blenva Bendi","Máy Rung Điểm G Cao Cấp Blenva Bendi","OK"
"DC95B","Chày rung mini cao cấp Blenva","Chày Rung Mini Cao Cấp Blenva","OK"
"DC95C","Thanh rung mini hình thỏi son Blenva","Thanh Rung Mini Hình Thỏi Son Blenva","OK"
"DC95D","Máy rung mini hình trái đào Blenva Bonbon","Máy Rung Mini Hình Trái Đào Blenva Bonbon","OK"
"DC18K","Quả trứng thủ dâm Lovense Kraken","Quả Trứng Thủ Dâm Lovense Kraken","OK"
"G10P","Gel kích thích rung động hưng phấn cho nữ Pjur Woman Lust Intense","Gel Kích Thích Rung Động Hưng Phấn Cho Nữ Pjur Woman Lust Intense","OK"
"G07","Gel bôi trơn hậu môn gốc nước Love Men Monogatari 200ml","Gel Bôi Trơn Hậu Môn Gốc Nước Love Men Monogatari 200ml","OK"
"DC93V","Dương vật cao cấp Lovense Velvo rung xoay sóng bi kết nối app","Dương Vật Giả Lovense Velvo Rung Xoay Sóng Bi Kết Nối App","OK"
"DC90PL","Trứng Rung Cao Cấp Svakom Plume – Điều Khiển App, Thiết Kế Đuôi Silicon Mềm","Trứng Rung Tình Yêu Svakom Plume Điều Khiển App Đuôi Silicon Mềm","OK"
"SL10A","Kamagra 100 Chewable – Giải Pháp Tối Ưu Cho Nam Giới","Kamagra 100 Chewable Cho Nam Giới","OK"
"HM02Q","Prettylove Tarion-Rung thụt hậu môn với đế phát quang 5 màu","Rung Thụt Hậu Môn Prettylove Tarion Đế Phát Quang 5 Màu","OK"
"BD12","Bao cao su đôn dên Prettylove Odes 6.9""","Bao Cao Su Đôn Dên Prettylove Odes 6.9","OK"
"DC70N","Vòng thắt bìu dương vật chơi lâu ra","Vòng Thắt Bìu Dương Vật Chơi Lâu Ra","OK"
"MS14A","Máy rung bú Prettylove Pecker","Máy Rung Bú Prettylove Pecker","OK"
"EG36C","Trứng rung bú mini- hộp diệu kỳ Magic Box","Trứng Rung Bú Mini - Hộp Diệu Kỳ Magic Box","OK"
"EG04B","Trứng rung da sần nhám siêu kích thích","Trứng Rung Tình Yêu Da Sần Nhám Siêu Kích Thích","OK"
"AV17F","Chày rung 2 đầu siêu phê","Máy Massage Cá Nhân Chày Rung 2 Đầu","OK"
"AD57","Âm đạo giả silicon mềm cao cấp – Thiết kế nhỏ gọn, cảm giác chân thật cho nam","Âm Đạo Giả Silicon Mềm Cao Cấp - Nhỏ Gọn, Cảm Giác Chân Thật Cho Nam","OK"
"AD10","Cốc thủ dâm lỗ hậu môn khít bót cho Gay","Cốc Thủ Dâm Lỗ Hậu Môn Khít Bót Cho Gay","OK"
"DV58Q","Dụng Cụ Massage Cá Nhân Lovetoy Nature Cock 7.5” – Silicon 2 Lớp Cao Cấp","Dương Vật Giả Rung Lovetoy Nature Cock 7.5” Silicon 2 Lớp Cao Cấp","OK"
"DV39G","Dụng Cụ Massage Cá Nhân Prettylove Molly Rung & Nhiều Chế Độ – Thiết Kế Nhỏ Gọn","Dương Vật Giả Rung Prettylove Molly Nhiều Chế Độ Thiết Kế Nhỏ Gọn","OK"
"DV65G","Dụng Cụ Hỗ Trợ Đeo Ngoài Lovetoy INGEN Silicon Cao Cấp – Thiết Kế Linh Hoạt","Dương Vật Giả Rung Đeo Ngoài Lovetoy INGEN Silicon Thiết Kế Linh Hoạt","OK"
"XTS01A","Xịt Hỗ Trợ Kéo Dài Thời Gian Stud 100 UK 12ml – Giải Pháp Cho Nam Giới","Chai Xịt Kéo Dài Thời Gian Stud 100 UK 12ml Cho Nam Giới","OK"
"KT116","Nước hoa nam Orgie Sensfeel 50ml hương thơm nam tính, tăng sự tự tin và cuốn hút","Nước Hoa Kích Thích Nam Orgie Sensfeel 50ml Tăng Sự Tự Tin Và Cuốn Hút","OK"
"KT116A","Nước Hoa Nữ Orgie Sensfeel 50ml – Hương Thơm Quyến Rũ & Tinh Tế","Nước Hoa Kích Thích Nữ Orgie Sensfeel 50ml Hương Thơm Quyến Rũ Tinh Tế","OK"
"HM37A","Phích massage rung inox cao cấp, 10 chế độ rung, điều khiển từ xa tiện lợi","Phích Massage Rung Inox 10 Chế Độ Rung Điều Khiển Từ Xa","OK"
"DC72D","Vòng rung massage đeo hỗ trợ nam kèm đầu massage mềm, điều khiển từ xa, sạc USB","Vòng Rung Massage Đeo Hỗ Trợ Nam Kèm Đầu Massage Mềm Điều Khiển Từ Xa Sạc USB","OK"
"BD44","Bao đôn silicon gai bi cao cấp, tăng kích thước, tái sử dụng nhiều lần","Bao Đôn Silicon Gai Bi Cao Cấp Tăng Kích Thước Tái Sử Dụng Nhiều Lần","OK"
"EG34H","Trứng rung massage Lovense Lush Anal kết nối app, điều khiển từ xa không giới hạn","Trứng Rung Massage Lovense Lush Anal Kết Nối App Điều Khiển Từ Xa Không Giới Hạn","OK"
"DC42K","Máy massage điểm G cao cấp Lelo Dot Travel, rung đa chế độ, chống nước, nhỏ gọn du lịch","Máy Massage Điểm G Lelo Dot Travel Rung Đa Chế Độ Chống Nước Nhỏ Gọn","OK"
"DC67V","Bộ dụng cụ massage rung đa năng cho nữ điều khiển từ xa, sạc USB tiện lợi","Trứng Rung Tình Yêu Đa Năng Cho Nữ Điều Khiển Từ Xa Sạc USB","OK"
"MS32P","Quần lót massage rung Yeain Red Sprite điều khiển qua app, thiết kế mỏng nhẹ cao cấp","Quần Lót Massage Rung Yeain Red Sprite Điều Khiển Qua App Mỏng Nhẹ","OK"
"DV60K","Máy massage silicon cao cấp rung đa chế độ, sưởi ấm, điều khiển từ xa, đế hút tiện lợi","Dương Vật Giả Rung Silicon Cao Cấp, Rung Đa Chế Độ, Sưởi Ấm, Điều Khiển Từ Xa, Đế Hút Tiện Lợi","OK"
"HM33A","Máy massage rung đa năng kèm vòng đeo điều khiển từ xa, sạc USB chống nước","Máy Massage Rung Đa Năng Kèm Vòng Đeo Điều Khiển Từ Xa Sạc USB Chống Nước","OK"
"DV09A","Dụng cụ massage silicon mềm Yeain Real 7 inch cao cấp, chất liệu silicone Platinum an toàn","Dương Vật Giả Rung Yeain Real 7 Inch Silicone Platinum","OK"
"DC90GB","Máy massage điểm G Svakom Gabrielle rung thụt, sưởi ấm, điều khiển từ xa cao cấp","Máy Massage Điểm G Svakom Gabrielle Rung Thụt, Sưởi Ấm, Điều Khiển Từ Xa","OK"
"BD49E","Bao đôn silicon cao cấp bọc bìu FAAK – Nhiều kích thước, silicon y tế an toàn","Bao Đôn Silicon Y Tế Cao Cấp Bọc Bìu FAAK Nhiều Kích Thước An Toàn","OK"
"DUONG-VAT-DAI-DEO-RONG-RUOT-SILICON-MEM-MAI","Dương vật đai đeo rỗng ruột silicon mềm mại","Dương Vật Đai Đeo Rỗng Ruột Silicon Mềm Mại","OK"
"DC69U","Máy Tập Dương Vật Luoge LG110 – Tăng Kích Cỡ & Cải Thiện Sinh Lý Nam","Máy Tập Dương Vật Luoge LG110 Tăng Kích Cỡ Và Cải Thiện Sinh Lý Nam","OK"
"AD34P","Cốc Thủ Dâm Tự Động Xoay Thụt Rên Phát Nhiệt Giá Rẻ","Cốc Thủ Dâm Tự Động Xoay Thụt Rên Phát Nhiệt Giá Rẻ","OK"
"DC90M","Svakom Margot – Máy Rung 2 Đầu Sưởi Ấm Điều Khiển Qua App","Máy Rung 2 Đầu Svakom Margot Sưởi Ấm Điều Khiển Qua App","OK"
"DC90S","Dương Vật Svakom Selena Rung Thụt Sưởi Ấm Điều Khiển Qua App","Dương Vật Giả Rung Svakom Selena Thụt Sưởi Ấm Điều Khiển Qua App","OK"
"NY19F","Quần Silicon Có Âm Đạo Giả Cho Gay – Giải Pháp Hoàn Hảo Để Hóa Nữ Tự Nhiên Nhất","Quần Silicon Có Âm Đạo Giả Cho Gay Hóa Nữ Tự Nhiên","OK"
"AV07D","Chày Rung Mini Sạc Pin – Bút Massage Cầm Tay Nhỏ Gọn, Mạnh Mẽ","Chày Rung Mini Sạc Pin - Bút Massage Cầm Tay Nhỏ Gọn Mạnh Mẽ","OK"
"MS08","Thanh Rung Điểm G Nalone Mạ Vàng – Lựa Chọn Hoàn Hảo Cho Phái Đẹp","Thanh Rung Điểm G Nalone Mạ Vàng","OK"
"G05D","Gel Se Khít Âm Đạo Shunga Hold Me Tight Nhật Bản – Tăng Khoái Cảm, Co Thắt Nhanh","Gel Se Khít Âm Đạo Shunga Hold Me Tight Nhật Bản - Tăng Khoái Cảm, Co Thắt Nhanh","OK"
"AD01D","Máy Mát Xa Tăng Kích Thước Dương Vật Yeain Man PowerUp – Hút Xoáy Mạnh, Silicone Cao Cấp","Máy Mát Xa Tăng Kích Thước Dương Vật Yeain Man PowerUp - Hút Xoáy Mạnh, Silicone Cao Cấp","OK"
"MS14H1","Máy bú hoa hồng kèm trứng rung thụt – Nhiều chế độ rung, sạc từ tính","Máy Bú Hoa Hồng Kèm Trứng Rung Thụt Nhiều Chế Độ Rung Sạc Từ Tính","OK"
"EG34M","Trứng Rung Lovense Lush Mini Điều Khiển Qua App – Silicone Cao Cấp","Trứng Rung Lovense Lush Mini Điều Khiển Qua App Silicone Cao Cấp","OK"
"DC53M","Âm đạo giả mông silicon khủng rung rên bú 2 lỗ siêu thật","Âm Đạo Giả Mông Silicon Khủng 2 Lỗ Rung Rên Bú Siêu Thật","OK"
"AD19A","Âm đạo 2 đầu có miệng mũi như thật – Silicon mềm, 3 lỗ kích thích","Âm Đạo 2 Đầu Có Miệng Mũi Như Thật, Silicon Mềm, 3 Lỗ Kích Thích","OK"
"AD38G","Ngực Silicon Khủng Kèm Âm Đạo – Silicon Siêu Mềm, Cực Phê Như Thật","Ngực Silicon Khủng Kèm Âm Đạo Siêu Mềm Như Thật","OK"
"AD33F1","Âm Đạo Tự Động Leten Zero Gravity – Rung Thụt, Sưởi Ấm 42°C Cao Cấp","Âm Đạo Tự Động Leten Zero Gravity - Rung Thụt, Sưởi Ấm 42°C","OK"
"DC50R","Máy Làm Tình Tự Động Điều Khiển Từ Xa Qua Điện Thoại","Máy Làm Tình Tự Động Điều Khiển Từ Xa Qua Điện Thoại","OK"
"DV73E","Dương vật 2 đầu rung bú đá lưỡi siêu kích thích – Thủ dâm điểm G công nghệ mới","Dương Vật Giả Rung 2 Đầu Bú Đá Lưỡi Kích Thích Điểm G Công Nghệ Mới","OK"
"DV55R","Dương vật giả Lovetoy Sliding Skin Pro II 9” – Tuột da chân thực, 10 chế độ rung","Dương Vật Giả Lovetoy Sliding Skin Pro II 9” Tuột Da Chân Thực 10 Chế Độ Rung","OK"
"DC50S1","Dương vật cao cấp Lovense Spinel – Rung thụt tỏa nhiệt, điều khiển App, gắn tường đa năng","Dương Vật Giả Lovense Spinel Rung Thụt Tỏa Nhiệt Điều Khiển App Gắn Tường Đa Năng","OK"
"HM15C","Thanh rung hậu môn – 10 tần số rung mạnh, trải nghiệm mới lạ cho cả nam và nữ","Thanh Rung Hậu Môn 10 Tần Số Rung Mạnh Cho Cả Nam Và Nữ","OK"
"NY19E1","Quần silicon có âm đạo giả cho Gay (nam giả nữ) – Hóa thân chân thật, trải nghiệm trọn vẹn","Quần Silicon Có Âm Đạo Giả Cho Gay (Nam Giả Nữ)","OK"
"BD07C","Bộ vòng gai có quai đeo – Bí quyết kéo dài thời gian yêu & tăng cực khoái cho nam giới","Bộ Vòng Gai Có Quai Đeo Kéo Dài Thời Gian Yêu Và Tăng Cực Khoái Cho Nam Giới","OK"
"BD10T","Bộ 3 vòng và 2 khúc đôn tăng kích thước dương vật – Bí quyết kéo dài thời gian yêu cực hiệu quả","Bộ 3 Vòng Và 2 Khúc Đôn Tăng Kích Thước Dương Vật Kéo Dài Thời Gian Yêu","OK"
"BD45A","Bao đôn râu rồng vảy cá có vòng đeo","Bao Đôn Râu Rồng Vảy Cá Có Vòng Đeo","OK"
"AV16A","Chày rung cao cấp Elizabeth siêu mạnh – 8 chế độ rung, massage toàn thân, giải tỏa sinh lý hiệu quả","Chày Rung Massage Toàn Thân Elizabeth 8 Chế Độ Rung","OK"
"MS45E","Máy rung mini kích thích đa điểm cực phê – 7 chế độ rung mạnh mẽ, sạc USB, chống nước","Máy Rung Mini Kích Thích Đa Điểm 7 Chế Độ Rung Sạc USB Chống Nước","OK"
"AV07C","Chày rung Lilo 2 đầu có sưởi ấm – Phiên bản cao cấp 2 trong 1, 10 chế độ rung mạnh mẽ","Chày Rung Lilo 2 Đầu Có Sưởi Ấm 2 Trong 1 10 Chế Độ Rung","OK"
"EG36B","Trứng rung đôi mini sạc pin Galaku MIRAI – Kích thích điểm G, giải tỏa sinh lý nữ hiệu quả","Trứng Rung Đôi Mini Sạc Pin Galaku MIRAI Kích Thích Điểm G","OK"
"BD10P","Bao đôn khúc gai rung sạc","Bao Đôn Khúc Gai Rung Sạc","OK"
"BD49D","Bao đôn silicon mềm có quai đeo","Bao Đôn Silicon Mềm Có Quai Đeo","OK"
"BB12B","Búp Bê Silicon Bán Thân Nam Size Lớn – Thỏa Mãn Mọi Cảm Xúc","Búp Bê Silicon Bán Thân Nam Size Lớn","OK"
"BB12R","Búp bê bán thân silicon có rung rên – Trải nghiệm chân thật, an toàn & kín đáo","Búp Bê Bán Thân Silicon Có Rung Rên","OK"
"BB24D","Búp Bê Silicon 100cm – Thiếu Nữ Tuổi Dậy Thì Dáng Chuẩn, Chất Liệu Cao Cấp","Búp Bê Silicon Cao Cấp 100cm Thiếu Nữ Tuổi Dậy Thì Dáng Chuẩn","OK"
"BB25F","Búp bê silicon mini 60cm dễ thương – Giá rẻ, an toàn, kín đáo","Búp Bê Silicon Mini 60cm Dễ Thương - Giá Rẻ, An Toàn, Kín Đáo","OK"
"DC85D3","Máy mát xa âm vật cao cấp Lelo Nea 3 – Thụy Điển","Máy Mát Xa Âm Vật Lelo Nea 3 - Trứng Rung Tình Yêu Thụy Điển","OK"
"AV07B","Chày Rung 2 Đầu Lilo – Đồ Chơi Massage Cao Cấp Cho Phái Nữ","Chày Rung 2 Đầu Lilo Máy Massage Cá Nhân Cho Phái Nữ","OK"
"AD02M","Âm đạo silicon se khít gái tơ Sarah – Trải nghiệm chân thật như thật","Âm Đạo Silicon Se Khít Gái Tơ Sarah - Trải Nghiệm Chân Thật","OK"
"AD14D","Âm đạo silicon hình thiếu nữ gợi cảm – Búp bê bán thân cho nam giới giá rẻ","Búp Bê Bán Thân Âm Đạo Silicon Hình Thiếu Nữ Gợi Cảm Cho Nam Giới Giá Rẻ","OK"
"AD01C","Máy mát xa dương vật tự động cầm tay giá rẻ – Trải nghiệm khoái cảm đỉnh cao cho nam giới","Máy Mát Xa Dương Vật Tự Động Cầm Tay Cho Nam Giới","OK"
"AD50B","Cốc Thủ Dâm Mắt Mèo Silicon Cao Cấp – Thiết Kế Nhỏ Gọn, Trải Nghiệm Chân Thực","Cốc Thủ Dâm Mắt Mèo Silicon Cao Cấp - Thiết Kế Nhỏ Gọn, Trải Nghiệm Chân Thực","OK"
"DC53K","Âm Đạo Silicon Cỡ Lớn – Vòng Ba Cực Quyến Rũ, Trải Nghiệm Chân Thật","Âm Đạo Silicon Cỡ Lớn Vòng Ba Quyến Rũ Trải Nghiệm Chân Thật","OK"
"AD34N","Âm đạo giả Dibe Ferrady rung sục tự động có sưởi ấm","Âm Đạo Giả Dibe Ferrady Rung Sục Tự Động Có Sưởi Ấm","OK"
"DV44U","Dương Vật Cao Cấp Dibe Rung Thụt Sưởi Ấm – Trải Nghiệm Khoái Cảm Đỉnh Cao","Dương Vật Giả Rung Dibe Thụt Sưởi Ấm","OK"
"DV36C","Mông Silicon Gắn Dương Vật 18x4,4cm – Trải Nghiệm Thật Như Ngoài Đời","Mông Silicon Gắn Dương Vật 18x4,4cm Trải Nghiệm Thật Như Ngoài Đời","OK"
"BZ03C","Phụ kiện phòng the SM – Dây trói cổ chân cổ tay da lót lông cao cấp | Đồ chơi người lớn giúp tạo tư thế mới lạ","Dây Trói Cổ Chân Cổ Tay Da Lót Lông Cao Cấp Phụ Kiện SM","OK"
"BD13G","Đồ chơi SM banh 2 chân tạo thế quan hệ","Đồ Chơi SM Banh 2 Chân Tạo Thế Quan Hệ","OK"
"BZ24","Cây Cọ Lăn Gai SM Mạ Kim – Đồ Chơi Kích Thích Cảm Giác Mạnh Mẽ","Cây Cọ Lăn Gai SM Mạ Kim - Đồ Chơi Kích Thích Cảm Giác Mạnh Mẽ","OK"
"BZ04","Còng Tình Yêu Hợp Kim Cao Cấp – Khơi Dậy Cuộc Yêu Mãnh Liệt","Còng Tình Yêu Hợp Kim Cao Cấp","OK"
"BD29B","Bao đôn dên trong suốt gân nhẹ rỗng đầu","Bao Đôn Dên Trong Suốt Gân Nhẹ Rỗng Đầu","OK"
"BD46A","Bao đôn silicon rung đầu sạc pin điều khiển xa","Bao Đôn Silicon Rung Đầu Sạc Pin Điều Khiển Từ Xa","OK"
"DC33B","Dụng Cụ Massage Nam Giới Thiết Kế Dạng Vòi Bạch Tuộc – Hỗ Trợ Cải Thiện Sinh Lý, Tăng Khoái Cảm","Dụng Cụ Massage Nam Giới Dạng Vòi Bạch Tuộc - Hỗ Trợ Cải Thiện Sinh Lý, Tăng Khoái Cảm","OK"
"BB25E","Búp Bê Tình Yêu Mini 80cm Silicone Cao Cấp (BB25E)","Búp Bê Tình Yêu Mini 80cm Silicone Cao Cấp","OK"
"BB12K","Búp Bê Nam Bán Thân Cao Cấp – Trải Nghiệm Thật Như Đang Yêu","Búp Bê Nam Bán Thân Cao Cấp Trải Nghiệm Thật Như Đang Yêu","OK"
"DC85CD","Thiết Bị Rung Massage Cặp Đôi Cao Cấp Lelo Tiani Duo – Kết Nối Cảm Xúc & Khoái Cảm Mạnh Mẽ","Thiết Bị Rung Massage Cặp Đôi Lelo Tiani Duo Cao Cấp","OK"
"DC22K","Thiết Bị Kích Thích Nữ Giới – Lưỡi Rung Silicon Mềm Mại, Mô Phỏng Tự Nhiên","Lưỡi Rung Silicon Mềm Mại Kích Thích Nữ Giới Mô Phỏng Tự Nhiên","OK"
"MS41","Máy Massage Hút Rung Đa Chức Năng Yeain ScentWave Cho Nữ – Tận Hưởng Cảm Giác Thư Giãn Tuyệt Vời","Máy Massage Hút Rung Đa Chức Năng Yeain ScentWave Cho Nữ","OK"
"DC74F","Cốc Massage Nam Cao Cấp Tenga Flip Orb Pastaio – Thiết Kế Tách Đôi Tiện Lợi, Cảm Giác Chân Thật","Cốc Massage Nam Tenga Flip Orb Pastaio - Thiết Kế Tách Đôi Tiện Lợi","OK"
"DC46Q","Mông silicon siêu khủng có đùi rung rên cực chất","Mông Silicon Siêu Khủng Có Đùi Rung Rên","OK"
"AD34M","Thiết Bị Massage Tự Động Gắn Tường – Chuyển Động Xoay, Thụt & Rung Mạnh Mẽ Cho Nam Giới","Thiết Bị Massage Tự Động Gắn Tường Cho Nam Giới - Xoay, Thụt & Rung Mạnh Mẽ","OK"
"DC93MS","Lovense Mission 2 – Thiết Bị Massage Cá Nhân Điều Khiển Qua App, Gắn Tường Xoay 160°","Dương Vật Giả Rung Lovense Mission 2 Điều Khiển Qua App, Gắn Tường Xoay 160°","OK"
"DC93S","Lovense Osci 3 – Thiết Bị Massage Cá Nhân Kết Nối App, Công Nghệ Mỹ Hiện Đại","Dương Vật Giả Rung Lovense Osci 3 Kết Nối App Công Nghệ Mỹ","OK"
"DV75","Thiết Bị Hỗ Trợ Cá Nhân Yeain Hot Wheel – Đa Chức Năng Với Chế Độ Rung & Nhiệt Độ 42°C","Dương Vật Giả Rung Yeain Hot Wheel Đa Chức Năng Rung & Nhiệt Độ 42°C","OK"
"EG30N","Trứng Rung Prettylove Willie – Kích Thích Âm Vật & Điểm G Mạnh Mẽ, Kín Đáo Và Hiệu Quả","Trứng Rung Prettylove Willie Kích Thích Âm Vật & Điểm G","OK"
"DC93X","Lovense Exomoon – Thanh Rung Mini Thỏi Son Siêu Kín Đáo Cho Nữ Giới Hiện Đại","Thanh Rung Mini Thỏi Son Lovense Exomoon Siêu Kín Đáo","OK"
"DC42EW","Lelo Enigma Wave – Máy Bú Âm Vật Và Massage Điểm G Bằng Sóng Âm | Cực Khoái Kép Hoàn Hảo Từ Thụy Điển","Máy Bú Âm Vật Và Massage Điểm G Bằng Sóng Âm Lelo Enigma Wave","OK"
"DC85M","Máy Rung Liếm Lelo Ora 3 – Mô Phỏng Oral Sex Cực Đỉnh Cho Phái Đẹp","","FAIL"
"DV02D","Dương Vật Silicon Rung Thụt Sưởi Ấm Size Nhỏ – Cực Khoái Nhẹ Nhàng, Vừa Vặn Cho Phái Đẹp Châu Á","Dương Vật Giả Silicon Rung Thụt Sưởi Ấm Size Nhỏ","OK"
"DV60H","Dương Vật Silicon Rung – Thụt – Sưởi Ấm – Điều Khiển Từ Xa | Trải Nghiệm Thăng Hoa Chân Thật","Dương Vật Giả Silicon Rung Thụt Sưởi Ấm Điều Khiển Từ Xa","OK"
"DV54Q","Dương Vật Silicon Size Khủng Siêu Mềm – Cảm Giác Thật Như Thật, Thoả Mãn Mọi Tư Thế","Dương Vật Giả Rung Silicon Size Khủng Siêu Mềm Cảm Giác Thật","OK"
"DV26D","Dương Vật Silicon Size Khủng Prettylove Archille – Kích Thích Mạnh Mẽ, Cực Phê Từng Cơn","Dương Vật Giả Rung Silicon Size Khủng Prettylove Archille","OK"
"DC09C","Dương Vật Gắn Đai Rung Bắn Tinh Như Thật – Cực Đỉnh Cho Cảm Giác Như Giao Hợp Thật Sự","Dương Vật Giả Rung Gắn Đai Bắn Tinh Như Thật","OK"
"DC49C","Bộ bóng tập Kegel se khít âm đạo có rung","Bộ Bóng Tập Kegel Se Khít Âm Đạo Có Rung","OK"
"NY19E","Áo ngưc giả cao cấp tiện lợi","Áo Ngực Giả Cao Cấp Tiện Lợi","OK"
"NY19C1","Áo ngưc silicon cao cấp cho nam giả nữ","Áo Ngực Silicon Cao Cấp Cho Nam Giả Nữ","OK"
"DC93N2","Máy Mát Xa Dương Vật Thông Minh Lovense Gush 2 – Kết Nối App, Rung Cực Phê, Đỉnh Cao Công Nghệ Tình Dục","Máy Mát Xa Dương Vật Thông Minh Lovense Gush 2 Kết Nối App","OK"
"SL16C","Kẹo sâm HamerPro 66F86K vị mật ong – Tăng cường sinh lý, bồi bổ sức khỏe toàn diện","Kẹo Sâm HamerPro Vị Mật Ong - Tăng Cường Sinh Lý, Bồi Bổ Sức Khỏe Toàn Diện","OK"
"SL16D","Kẹo sâm HamerPro 66F86K vị mật ong – Tăng cường sinh lý, bồi bổ sức khỏe toàn diện","Kẹo Sâm HamerPro Vị Mật Ong - Tăng Cường Sinh Lý, Bồi Bổ Sức Khỏe Toàn Diện","OK"
"KT37","Chai hít popper Fist đen 10ml – Hưng phấn tức thì, hỗ trợ quan hệ cửa sau dễ dàng","Chai Hít Popper Fist Đen 10ml - Hưng Phấn Tức Thì, Hỗ Trợ Quan Hệ Cửa Sau Dễ Dàng","OK"
"KT38","Chai hít popper Ram xanh 10ml – Tăng hưng phấn, kéo dài cuộc yêu mạnh mẽ","Chai Hít Popper Ram Xanh 10ml - Tăng Hưng Phấn, Kéo Dài Cuộc Yêu Mạnh Mẽ","OK"
"KT39","Chai hít Jungle Juice Gold Label 10ml – Tăng khoái cảm tức thì, hưng phấn bùng nổ","Chai Hít Jungle Juice Gold Label 10ml - Tăng Khoái Cảm Tức Thì, Hưng Phấn Bùng Nổ","OK"
"G32E","Son bóng Orgie Electric Fellatio – Tăng khoái cảm khi hôn & Oral Sex với hiệu ứng rung độc đáo","Son Bóng Orgie Electric Fellatio Tăng Khoái Cảm Khi Hôn & Oral Sex Hiệu Ứng Rung Độc Đáo","OK"
